actor_name	formatted_bday	actor_gender	ethnicity	age_is_est	birthday_data_source_link	bday_data_source	is_actor	photo_url	ethnic_cat
Joseph Marcell	1948-08-14T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Joseph_Marcell_%2814282811444_a008fff1c0_n%29_%28cropped%29.jpg/220px-Joseph_Marcell_%2814282811444_a008fff1c0_n%29_%28cropped%29.jpg	Saint Lucian
Ron Canada	1949-05-03T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Ron_Canada.jpg/220px-Ron_Canada.jpg	none
L. Scott Caldwell	1950-04-17T00:00:00	female	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/0/01/LScott_Caldwell_cropped.jpg/220px-LScott_Caldwell_cropped.jpg	none
Philip Akin	1950-04-18T00:00:00	male	Black	FALSE		Wikipedia	TRUE		Jamaican
Howard Rollins	1950-10-17T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/en/thumb/a/ad/Howardrollinspiano.jpg/220px-Howardrollinspiano.jpg	none
Paul Barber	1951-03-18T00:00:00	male	Black	FALSE		Wikipedia	TRUE		Irish,Sierra Leonean
Don Warrington	1951-05-23T00:00:00	male	Black	FALSE		Wikipedia	TRUE		Trinidad and Tobago,African
Clarke Peters	1952-04-07T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Clarke_Peters_Edinburgh_2010.jpg/220px-Clarke_Peters_Edinburgh_2010.jpg	none
Keith David	1956-06-04T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Keith_David_3rd_Annual_ICON_MANN_POWER_50_event_-_Feb_2015_%28cropped%29.jpg/220px-Keith_David_3rd_Annual_ICON_MANN_POWER_50_event_-_Feb_2015_%28cropped%29.jpg	none
Sabrina Le Beauf	1958-03-21T00:00:00	female	Black	FALSE		Wikipedia	TRUE		none
Eamonn Walker	1962-06-12T00:00:00	male	Black	FALSE		Wikipedia	TRUE		Grenadian,Trinidad and Tobago
André Braugher	1962-07-01T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Andre_Braugher_2011_%28cropped%29.jpg/220px-Andre_Braugher_2011_%28cropped%29.jpg	none
Cathryn Bradshaw	1964-01-13T00:00:00	female	Black	FALSE		Wikipedia	TRUE		none
Paterson Joseph	1964-06-22T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/b/be/Lozupone-paterson-joseph.png/220px-Lozupone-paterson-joseph.png	Saint Lucian
Harry J. Lennix	1964-11-16T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/6/66/Harry_Lennix_by_Gage_Skidmore.jpg/220px-Harry_Lennix_by_Gage_Skidmore.jpg	none
David Harewood	1965-12-08T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/3/37/David_Harewood_2015.jpg/220px-David_Harewood_2015.jpg	Democratic Republic of the Congo
Adrian Lester	1968-08-14T00:00:00	male	Black	FALSE		Wikipedia	TRUE		Jamaican
Nina Sosanya	1969-06-06T00:00:00	female	Black	FALSE		Wikipedia	TRUE		Nigerian,Yoruba
Victor Williams	1970-09-19T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/7/79/Hometown_Heroes_2015_%2816395443631%29.jpg	none
Shaun Parkes	1973-02-09T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Shaun-Parkes-20081003_09378.jpg/200px-Shaun-Parkes-20081003_09378.jpg	Barbadian
Kananu Kirimi	1977-07-01T00:00:00	female	Black	TRUE		Wikipedia	TRUE		Kenyan,Scottish
