Oct 16, 1905	Shylock	E. H. Sothern	director unknown	Charles Frohman	Knickerbocker Theatre
Oct 16, 1905	Bassanio	Frederick Lewis	director unknown	Charles Frohman	Knickerbocker Theatre
Apr 29, 1907	Shylock	Robert B. Mantell	director unknown	William A. Brady	New Amsterdam Theatre
Apr 29, 1907	Portia	Marie Booth Russell	director unknown	William A. Brady	New Amsterdam Theatre
May 25, 1903	Shylock	Jacob P. Adler	director unknown	unknown production company	American Theatre
Jan 21, 1907	Portia	Julia Marlowe	director unknown	Messrs. Shubert	Lyric Theatre
Jan 21, 1907	Shylock	E. H. Sothern	director unknown	Messrs. Shubert	Lyric Theatre
Oct 21, 1901	Shylock	Henry Irving	director unknown	Henry Irving-Ellen Terry Company	Knickerbocker Theatre
Oct 21, 1901	Bassanio	Arthur Royston	director unknown	Henry Irving-Ellen Terry Company	Knickerbocker Theatre
Oct 21, 1901	Portia	Ellen Terry	director unknown	Henry Irving-Ellen Terry Company	Knickerbocker Theatre
Oct 18, 1869	Rosalind	Mary Frances Scott-Siddons	director unknown	unknown production company	Daly's Fifth Avenue Theatre
Feb 20, 1947	Orlando	Kempster Barnes	director unknown	Hall Shelton	New Century Theatre
Feb 20, 1947	Rosalind	Rosalind Iden	director unknown	Hall Shelton	New Century Theatre
Feb 20, 1947	Jaques	John Wynyard	director unknown	Hall Shelton	New Century Theatre
Mar 04, 1953	Shylock	Luther Adler	director unknown	New York City Drama Company	City Center
Mar 04, 1953	Servant to Portia	Chris Mahan	director unknown	New York City Drama Company	City Center
Mar 04, 1953	Portia	Margaret Phillips	director unknown	New York City Drama Company	City Center
Mar 04, 1953	Bassanio	Paul Stevens	director unknown	New York City Drama Company	City Center
Mar 04, 1953	Servant to Portia	Steven Thomas	director unknown	New York City Drama Company	City Center
Sep 22, 1913	Bassanio	Frederick Lewis	director unknown	Sothern & Marlowe Repertory	Manhattan Opera House
Sep 22, 1913	Portia	Julia Marlowe	director unknown	Sothern & Marlowe Repertory	Manhattan Opera House
Sep 22, 1913	Shylock	E. H. Sothern	director unknown	Sothern & Marlowe Repertory	Manhattan Opera House
Jan 20, 1913	Bassanio	Eric Blind	director unknown	unknown production company	Harris Theatre
Jan 20, 1913	Portia	Amelia Gardner	director unknown	unknown production company	Harris Theatre
Jan 20, 1913	Shylock	John E. Kellerd	director unknown	unknown production company	Harris Theatre
May 24, 1901	Bassanio	Aubrey Boucicault	director unknown	unknown production company	Knickerbocker Theatre
May 24, 1901	Portia	Maxine Elliott	director unknown	unknown production company	Knickerbocker Theatre
May 24, 1901	Shylock	Nat C. Goodwin	director unknown	unknown production company	Knickerbocker Theatre
2016	Bassanio	Dan Fredenburgh	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2016	Portia	Rachel Pickup	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2016	Shylock	Jonathan Pryce	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2011	Orlando	Gunnar Cauthery	James Dacre	Shakespeare's Globe	Shakespeare's Globe
2011	Rosalind	Jo Herbert	James Dacre	Shakespeare's Globe	Shakespeare's Globe
2012	Orlando	Will Featherstone	James Dacre	Shakespeare's Globe	Shakespeare's Globe
2012	Rosalind  	Deirdre Mullins	James Dacre	Shakespeare's Globe	Shakespeare's Globe
1998	Orlando	Paul Hilton	Lucy Bailey	Shakespeare's Globe	Shakespeare's Globe
1998	Rosalind	Anastasia Hille	Lucy Bailey	Shakespeare's Globe	Shakespeare's Globe
1998	Jaques	John McEnery	Lucy Bailey	Shakespeare's Globe	Shakespeare's Globe
2012	Bassanio	Yousef Sweid	Ilan Ronen	Shakespeare's Globe	Shakespeare's Globe
2012	Portia	Hila Feldman	Ilan Ronen	Shakespeare's Globe	Shakespeare's Globe
2012	Shylock	Jacob Cohen	Ilan Ronen	Shakespeare's Globe	Shakespeare's Globe
2014	Shylock	Ognen Drangovski	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2014	Portia	Catherine Bailey	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2014	Bassanio	Nick Howard-Brown	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2013	Rosalind	Ketevan Shatirishvili	Levan Tsuladze	Shakespeare's Globe	Shakespeare's Globe
2013	Jaques	Nata Murvanidze	Levan Tsuladze	Shakespeare's Globe	Shakespeare's Globe
2013	Orlando	Nika Kuchava	Levan Tsuladze	Shakespeare's Globe	Shakespeare's Globe
2015	Shylock	Jonathan Pryce	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2015	Portia	Rachel Pickup	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2015	Bassanio	Daniel Lapaine	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2015	Rosalind	Michelle Terry	Blanche McIntyre	Shakespeare's Globe	Shakespeare's Globe
2015	Orlando	Simon Harrison	Blanche McIntyre	Shakespeare's Globe	Shakespeare's Globe
2009	Rosalind 	Naomi Frederick	Thea Sharrock	Shakespeare's Globe	Shakespeare's Globe
2009	Orlando 	Jack Laskey	Thea Sharrock	Shakespeare's Globe	Shakespeare's Globe
1998	Orlando	Paul Hilton	Lucy Bailey	Shakespeare's Globe	Shakespeare's Globe
1998	Rosalind	Anastasia Hille	Lucy Bailey	Shakespeare's Globe	Shakespeare's Globe
1998	Jaques	John McEnery	Lucy Bailey	Shakespeare's Globe	Shakespeare's Globe
2012	Bassanio	Yousef Sweid	Ilan Ronen	Shakespeare's Globe	Shakespeare's Globe
2012	Portia	Hila Feldman	Ilan Ronen	Shakespeare's Globe	Shakespeare's Globe
2012	Shylock	Jacob Cohen	Ilan Ronen	Shakespeare's Globe	Shakespeare's Globe
2012	Orlando	Will Featherstone	James Dacre	Shakespeare's Globe	Shakespeare's Globe
2012	Rosalind  	Deirdre Mullins	James Dacre	Shakespeare's Globe	Shakespeare's Globe
2011	Orlando	Gunnar Cauthery	James Dacre	Shakespeare's Globe	Shakespeare's Globe
2011	Rosalind	Jo Herbert	James Dacre	Shakespeare's Globe	Shakespeare's Globe
2013	Rosalind	Ketevan Shatirishvili	Levan Tsuladze	Shakespeare's Globe	Shakespeare's Globe
2013	Jaques	Nata Murvanidze	Levan Tsuladze	Shakespeare's Globe	Shakespeare's Globe
2013	Orlando	Nika Kuchava	Levan Tsuladze	Shakespeare's Globe	Shakespeare's Globe
2016	Bassanio	Dan Fredenburgh	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2016	Portia	Rachel Pickup	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2016	Shylock	Jonathan Pryce	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2015	Shylock	Jonathan Pryce	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2015	Portia	Rachel Pickup	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2015	Bassanio	Daniel Lapaine	Jonathan Munby	Shakespeare's Globe	Shakespeare's Globe
2014	Shylock	Ognen Drangovski	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2014	Portia	Catherine Bailey	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2014	Bassanio	Nick Howard-Brown	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe
2015	Rosalind	Michelle Terry	Blanche McIntyre	Shakespeare's Globe	Shakespeare's Globe
2015	Orlando	Simon Harrison	Blanche McIntyre	Shakespeare's Globe	Shakespeare's Globe
2009	Rosalind 	Naomi Frederick	Thea Sharrock	Shakespeare's Globe	Shakespeare's Globe
2009	Orlando 	Jack Laskey	Thea Sharrock	Shakespeare's Globe	Shakespeare's Globe
