1930-01-01T00:00:00	Richard Duke of Gloucester	Baliol Holloway	director unknown	Balliol Holloway Productions	New Theatre
2011-06-02T00:00:00	King Richard III	Seana McKenna	Miles Potter	Stratford Festival	Tom Patterson Theatre (Canada)
2002-07-13T00:00:00	Richard III	Tom McCamus	MARTHA HENRY	Stratford Festival	Avon Theatre (Canada)
1997-06-25T00:00:00	Richard, Duke of York	Joe Dinicol	John Wood	Stratford Festival	Tom Patterson Theatre (Canada)
1997-06-25T00:00:00	Page to Richard	Patrick Garrow	John Wood	Stratford Festival	Tom Patterson Theatre (Canada)
1997-06-25T00:00:00	Richard III	Stephen Ouimette	John Wood	Stratford Festival	Tom Patterson Theatre (Canada)
2011-06-02T00:00:00	Sir Richard Ratcliffe	Oliver Becker	Miles Potter	Stratford Festival	Tom Patterson Theatre (Canada)
1988-05-30T00:00:00	King Richard III	Colm Feore	Brian Rintoul	Stratford Festival	Festival Theatre (Canada)
1977-06-08T00:00:00	King Richard III	Brian Bedford	Robin Phillips	Stratford Festival	Festival Theatre (Canada)
1967-06-12T00:00:00	King Richard III (a)	Alan Bates	John Hirsch	Stratford Festival	Festival Theatre (Canada)
1967-06-12T00:00:00	King Richard III (b)	Neil Dainard	John Hirsch	Stratford Festival	Festival Theatre (Canada)
1953-07-13T00:00:00	King Richard III	Alec Guinness	Tyrone Guthrie	Stratford Festival	Festival Outdoor Tent (Canada)
2007-01-16T00:00:00	Richard, Duke of Gloucester	Geraint Wyn Davis	Michael Kahn	Shakespeare Theatre Company	Lansburgh Theatre
2007-01-16T00:00:00	Richard, Duke of York	Kent Jenkins	Michael Kahn	Shakespeare Theatre Company	Lansburgh Theatre
2007-01-16T00:00:00	Sir Richard Radcliffe	Jeff Allin	Michael Kahn	Shakespeare Theatre Company	Lansburgh Theatre
2003-03-25T00:00:00	Richard	Wallace Acton	Gale Edwards	Shakespeare Theatre Company	Lansburgh Theatre
2003-03-25T00:00:00	Sir Richard Radcliffe	John Douglas Thompson	Gale Edwards	Shakespeare Theatre Company	Lansburgh Theatre
1990-09-11T00:00:00	Richard, Duke of Gloucester	Stacy Keach	Michael Kahn	Shakespeare Theatre Company	Folger Shakespeare Library
1990-09-11T00:00:00	Richard, Duke of York	Dan Cameron Lowe	Michael Kahn	Shakespeare Theatre Company	Folger Shakespeare Library
1990-09-11T00:00:00	Sir Richard Ratcliffe	Benard Cummings	Michael Kahn	Shakespeare Theatre Company	Folger Shakespeare Library
1979-06-14T00:00:00	Richard, Duke of Gloucester, afterwards Richard III	Al Pacino	David Wheeler	The Shubert Organization	Cort Theatre
1943-03-24T00:00:00	Richard, Duke of York	Michael Artist	George Coulouris	Theater Productions	Forrest Theatre
1979-06-14T00:00:00	Sir Richard Ratcliffe	Jaime Sanchez	David Wheeler	The Shubert Organization	Cort Theatre
1943-03-24T00:00:00	Richard, Duke of Gloucester, afterwards Richard III	George Coulouris	George Coulouris	Theater Productions	Forrest Theatre
1979-06-14T00:00:00	Richard, Duke of York	Glenn Scarpelli	David Wheeler	The Shubert Organization	Cort Theatre
1943-03-24T00:00:00	Sir Richard Ratcliffe	John Parrish	George Coulouris	Theater Productions	Forrest Theatre
1949-02-08T00:00:00	Richard, Duke of Gloucester, afterwards Richard III	Richard Whorf	Richard Barr	Herman Levin	Booth Theatre
1949-02-08T00:00:00	Sir Richard Ratcliffe	Ray Walston	Richard Barr	Herman Levin	Booth Theatre
1953-12-09T00:00:00	Sir Richard Ratcliff	Jay Barney	director unknown	New York City Theatre Company	City Center
1953-12-09T00:00:00	Richard III	José Ferrer	director unknown	New York City Theatre Company	City Center
1953-12-09T00:00:00	Richard, Son of Edward IV	Charles Taylor	director unknown	New York City Theatre Company	City Center
1920-03-06T00:00:00	Richard, Duke of Gloucester, afterwards Richard III	John Barrymore	director unknown	Arthur Hopkins	Plymouth Theatre
1920-03-06T00:00:00	Richard, Duke of York	Marshall Vincent	director unknown	Arthur Hopkins	Plymouth Theatre
1917-04-16T00:00:00	Richard, Duke of Gloucester, afterwards Richard III	Robert B. Mantell	director unknown	Robert B. Mantell Repertoire	44th Street Theatre
1908-02-17T00:00:00	Richard, Duke of Gloucester, afterwards Richard III	Henry Ludlowe	director unknown	Mr. Hazelton and Mr. North	Bijou Theatre
1750-03-05T00:00:00	Richard, Duke of Gloucester, afterwards Richard III	Thomas Kean	director unknown	unknown production company	Nassau Street Theatre
2007-11-13T00:00:00	Richard III	Michael Cumpsty	director unknown	Classic Stage Company	East 13th Street/CSC Theatre
2007-11-13T00:00:00	Mistress Shore / Lady Anne / Young Prince Richard of York	K.K. Moggie	director unknown	Classic Stage Company	East 13th Street/CSC Theatre
2012-08-11T00:00:00	Richard	Ron Cephas Jones	Amanda Dehnert	The Public Theater	Joseph Papp Public Theater/LuEsther Hall
1998-02-15T00:00:00	Gloucester (later King Richard III)	Christopher McCann	Ron Daniels	Theatre for a New Audience	Theater at St. Clement's Church
2004-10-11T00:00:00	Richard, Duke of Gloucester	Peter Dinklage	Peter DuBois	The Public Theater	Joseph Papp Public Theater/Martinson Theater
1990-08-03T00:00:00	Sir Richard Ratcliffe	Jonathan Fried	Robin Phillips	The Public Theater	Delacorte Theater
1990-08-03T00:00:00	Richard Duke of Gloucester	Denzel Washington	Robin Phillips	The Public Theater	Delacorte Theater
1983-06-30T00:00:00	Richard	Kevin Kline	Jane Howell	Joseph Papp Public Theater/New York Shakespeare Festival	Delacorte Theater
1970-06-25T00:00:00	Richard III	Donald Madden	Stuart Vaughan	Joseph Papp Public Theater/New York Shakespeare Festival	Delacorte Theater
1974-10-20T00:00:00	Richard (Duke of York)	Stephen Austin	Mel Shapiro	Joseph Papp	Mitzi E. Newhouse Theater
1974-10-20T00:00:00	Richard III	Michael Moriarty	Mel Shapiro	Joseph Papp	Mitzi E. Newhouse Theater
1957-11-25T00:00:00	Messenger to Richard	Michael Kasden	Stuart Vaughan	Joseph Papp Public Theater/New York Shakespeare Festival	Heckscher Theatre
1957-11-25T00:00:00	Messenger to Richard	Phil Nicolaides	Stuart Vaughan	Joseph Papp Public Theater/New York Shakespeare Festival	Heckscher Theatre
1957-11-25T00:00:00	Richard Duke of Gloster	George C. Scott	Stuart Vaughan	Joseph Papp Public Theater/New York Shakespeare Festival	Heckscher Theatre
1957-11-25T00:00:00	Sir Richard Ratcliffe	Arthur Watson	Stuart Vaughan	Joseph Papp Public Theater/New York Shakespeare Festival	Heckscher Theatre
1957-11-25T00:00:00	Sir Walter Herbert/ Messenger to Richard	Howard Witt	Stuart Vaughan	Joseph Papp Public Theater/New York Shakespeare Festival	Heckscher Theatre
2014-07-10T00:00:00	Richard III	Martin Freeman	Jamie Lloyd	A Howard Panter and Adam Speers for Ambassador Theatre Group and Jamie Lloyd Productions	Trafalgar Studios
