1934-04-21T00:00:00	Juliet	Rachel Kempson	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1974-01-01T00:00:00	Juliet	Sammie Winmill	Ian Mullins	Farnham Repertory Co.	Redgrave Theatre, Farnham
2003-10-25T00:00:00	Juliet	Kate McGuinness	director unknown	English Theatre of Vienna	English Theatre of Vienna
2002-01-01T00:00:00	Juliet	Shereen Ibrahim	Josie Rourke	Liverpool Playhouse	Liverpool Playhouse
1995-01-01T00:00:00	Juliet	Elizabeth Chadwick	Irina Brown	unknown production company	Contact Theatre, Manchester
2002-01-01T00:00:00	Juliet	Tara Sharma	John Sheehan	Birmingham Stage Co.	The Old Rep Theatre, Birmingham
1974-01-01T00:00:00	Juliet	Veronica Quilligan	Bill Bryden	unknown production company	Old Vic, London
2002-01-01T00:00:00	Juliet	Christina Cole	Terry Hands	Clwyd Theatr Cymru	Clwyd Theatr Cymru, Mold
2008-04-12T00:00:00	Juliet	Sarah Ridgeway	Barrie Rutter	Northern Broadsides	Liverpool Playhouse
1979-08-16T00:00:00	Juliet	Janet Maw	Christopher Selbie	unknown production company	Old Vic, London
2000-09-04T00:00:00	Juliet	Charlotte Randle	Tim Supple	National Theatre	Olivier Theatre, National Theatre
1976-01-01T00:00:00	Juliet	Sarah Badel	George Murcell	St George’s	St George’s Theatre, Tufnell Park
1905-04-27T00:00:00	Juliet	Constance Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1930-07-10T00:00:00	Juliet	Joyce Bland	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1926-04-16T00:00:00	Juliet	Rosaline Courtneidge	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1929-09-14T00:00:00	Juliet	Adele Dixon	Harcourt Williams	Old Vic Co.	Old Vic, London
1919-08-11T00:00:00	Juliet	Joyce Carey	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1926-07-10T00:00:00	Juliet	Nell Carter	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2008-05-26T00:00:00	Juliet	Nikki M. James	Des McAnuff	Stratford Festival	Festival Theatre (Canada)
2013-05-27T00:00:00	Juliet	Sara Topham	Tim Carroll	Stratford Festival	Festival Theatre (Canada)
1997-06-06T00:00:00	Juliet	Marion Day	Diana Leblanc	Stratford Festival	Festival Theatre (Canada)
2002-05-31T00:00:00	Juliet	CLAIRE JULLIEN	MILES POTTER	Stratford Festival	Festival Theatre (Canada)
