2001-01-01T00:00:00	King Lear	Julian Glover	Barry Kyle	Shakespeare's Globe	Shakespeare's Globe
1999-12-03T00:00:00	King Lear	Nigel Barnard Hawthorne	Yukio Ninagawa	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1943-04-30T00:00:00	King Lear	Abraham Sofaer	Peter Creswell	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1988-08-31T00:00:00	King Lear	Richard Haddon Haines	Cicely Berry	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon
1968-04-10T00:00:00	King Lear	Eric Porter	Trevor Nunn	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1950-07-18T00:00:00	King Lear	John Gielgud	Anthony Quayle	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1962-12-12T00:00:00	King Lear	Paul Scofield	Peter Brook	Royal Shakespeare Company	Aldwych Theatre, London
1993-05-20T00:00:00	King Lear	Robert Stephens	Adrian Noble	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
2006-11-15T00:00:00	King Lear	Zho Ye Mang	David K S Tse	Royal Shakespeare Company	The Cube, Royal Shakespeare Theatre, Stratford-upon-Avon
1902-04-19T00:00:00	Lear	Benson	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1955-06-06T00:00:00	King Lear	John Gielgud	George Devine	Royal Shakespeare Company	Tour
1991-02-12T00:00:00	Lear	John Wood	Nicholas Hytner	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne
2004-06-30T00:00:00	King Lear	Corin Redgrave	Bill Alexander	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
2004-06-30T00:00:00	Lear's Fool	John Normington	Bill Alexander	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
2004-06-30T00:00:00	Knight to Lear	Matt Cross	Bill Alexander	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
2004-06-30T00:00:00	Knight to Lear	Tam Mutu	Bill Alexander	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
2004-06-30T00:00:00	Knight to Lear	Jack Whitam	Bill Alexander	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1924-07-16T00:00:00	King Lear	Arthur Phillips	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1906-05-08T00:00:00	Lear	Benson	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1953-07-14T00:00:00	King Lear	Michael Scudamore Redgrave	George Devine	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1976-11-02T00:00:00	King Lear	Donald Sinden	Trevor Nunn	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1983-03-15T00:00:00	King Lear	Michael Gambon	Adrian Noble	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne
1931-04-13T00:00:00	Lear	Randle Ayrton	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2002-09-23T00:00:00	King Lear	Nonso Anozie	Declan Donnellan	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
2010-03-02T00:00:00	King Lear	Greg Hicks	David Farr	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
2010-03-02T00:00:00	Lear's Gentleman	James Gale	David Farr	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
1975-02-22T00:00:00	Lear	Tony Church	Buzz Goodbody	Royal Shakespeare Company	Tour
2007-05-31T00:00:00	King Lear	Ian McKellen	Trevor Nunn	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
2007-05-31T00:00:00	Lear's Fool	Sylvester McCoy	Trevor Nunn	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
1890-04-24T00:00:00	King Lear	Osmond Tearle	Osmond Tearle	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2016-09-01T00:00:00	Lear's Gentleman	Eke Chukwu	Gregory Doran	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
2016-09-01T00:00:00	King Lear	Antony Sher	Gregory Doran	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1959-08-18T00:00:00	King Lear	Charles Laughton	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1936-04-20T00:00:00	Lear	Randle Ayrton	Theodore Komisarjevsky	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1883-04-23T00:00:00	King Lear	William Creswick	Elliot Galer	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2016-05-07T00:00:00	Lear	Don Warrington	Michael Buffong	Birmingham Repertory Theatre	Royal Exchange Theatre, Manchester
2013-09-29T00:00:00	Lear	Joss Ackland	director unknown	The Old Vic and St James Theatre	The Old Vic and St James Theatre
2010-01-01T00:00:00	King Lear	Derek Jacobi	Michael Grandage	unknown production company	Donmar Warehouse, London
1953-07-14T00:00:00	King Lear	Michael Redgrave	George Devine	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1990-01-01T00:00:00	King Lear	Brian Cox	Deborah Warner	National Theatre	Lyttelton Theatre, National Theatre
2008-11-29T00:00:00	King Lear	Pete Postlethwaite	Rupert Goold	Everyman Playhouse/Headlong/Young Vic	Everyman Theatre, Liverpool
1951-01-01T00:00:00	King Lear	William Devlin	Hugh Hunt	unknown production company	Old Vic, London
1951-01-01T00:00:00	t/o King Lear	John Colicos	Hugh Hunt	unknown production company	Old Vic, London
1990-01-01T00:00:00	King Lear	Richard Briers	Kenneth Branagh	Renaissance Theatre Company	UK Tour
1946-09-24T00:00:00	Lear	Laurence Olivier	Laurence Olivier	Old Vic Co.	New Theatre, London
1989-01-01T00:00:00	King Lear	Eric Porter	Jonathan Miller	unknown production company	Old Vic, London
