1891-04-23T00:00:00	Prospero	S Phillips	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1983-09-13T00:00:00	Prospero	Derek Jacobi	Ron Daniels	Royal Shakespeare Company	Barbican Theatre, London
2006-08-08T00:00:00	Prospero	Patrick Stewart	Rupert Goold	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1974-10-22T00:00:00	Prospero	Michael Aldridge	Keith Hack	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon
1908-05-09T00:00:00	Prospero	Edward Warburton	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1947-05-09T00:00:00	Prospero	Robert Harris	Norman Wright	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1904-05-06T00:00:00	Prospero	Arthur Whitby	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1970-10-15T00:00:00	Prospero	Ian Richardson	John Barton	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1934-04-16T00:00:00	Prospero	Neil Porter	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1897-04-19T00:00:00	Prospero	Oscar Asche	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2011-03-15T00:00:00	Prospero	David Fielder	Peter Glanville	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
2016-11-17T00:00:00	Prospero	Simon Russell Beale	director unknown	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1938-05-02T00:00:00	Prospero	Gyles Isham	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1934-04-16T00:00:00	Prospero	Neil Porter	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1930-04-28T00:00:00	Prospero	Wilfrid Walter	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2000-01-01T00:00:00	Prospero	Ian McDiarmid	Jonathan Kent	unknown production company	Almeida Theatre, London, Islington
2000-01-01T00:00:00	Prospero	Vanessa Redgrave	Lenka Udovicki	unknown production company	Globe Theatre, London
1926-07-08T00:00:00	Prospero	George Skillan	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1926-01-07T00:00:00	Prospero	B.A. Pittar	director unknown	unknown production company	The Savoy Theatre, London
1925-10-31T00:00:00	Prospero	A. Corney Grain	Beatrice Wilson	unknown production company	Century Theatre
