02.04.1963	Ariel	Ian Holm	Clifford Williams	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
02.05.1938	Ariel	Dennis Hutchinson	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
26.06.1951	Ariel	Alan Badel	Michael Benthall	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
26.04.1935	Ariel	Margaret Field-Hyde	Randle Ayrton	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
17.04.1942	Ariel	Sara Jackson	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
08.08.2006	Ariel	Julian Bleach	Rupert Goold	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
2000	Ariel	Aiden Gillen	Jonathan Kent	unknown production company	Almeida Theatre, London, Islington
1988	Ariel; Ceres	Steven Mackintosh	Peter Hall	National Theatre	Cottesloe Theatre, National Theatre
1995	Ariel	Victoria Pritchard	Silviu Purcarete	Nottingham Playhouse and Theatr Clwyd	Clwyd Theatr Cymru, Mold
1995	Prospero/Ariel Voice	Gerrard McArthur	Silviu Purcarete	Nottingham Playhouse and Theatr Clwyd	Clwyd Theatr Cymru, Mold
1985	Ariel	Moir Leslie	Nigel Jamieson	unknown production company	Theatre Royal, Bath
1996	Ariel	Ellen O’Grady	Patrick Garland	unknown production company	Open Air Theatre, Regent’s Park
30th May 1995	Ariel	Gillian Jones	Neil Armfield	Company B	Belvoir Street Theatre, Sydney, Australia
2000	Ariel	Geraldine Alexander	Lenka Udovicki	unknown production company	Globe Theatre, London
