not found
1st August 1979	Hamlet	Derek Jacobi	Director:Toby Robertson
unknown opening	Ophelia	Adele Dixon	Director:Harcourt Williams
unknown opening	Hamlet	John Gielgud	Director:Harcourt Williams
unknown opening	Ophelia	Barbara Jefford	Director:Michael Benthall
unknown opening	Hamlet	John Neville	Director:Michael Benthall
5th November 1985	Ophelia	Deborah Poplett	Director:Cicely Berry
5th November 1985	Hamlet	Tim McInnerny	Director:Cicely Berry
unknown opening	Ophelia	Harriet Walter	Director:Richard Eyre
unknown opening	Hamlet	Jonathan Pryce	Director:Richard Eyre
16th October 2004	Ophelia	Meg Fraser	Director:Michael Boyd
16th October 2004	Hamlet	Toby Stephens	Director:Michael Boyd
unknown opening	Ophelia	Hazel Terry	Director:John Gielgud
unknown opening	Hamlet	John Gielgud	Director:John Gielgud
30th June 1994	Ophelia	Jacqueline McKenzie	Director:Neil Armfield
30th June 1994	Hamlet	Richard Roxburgh	Director:Neil Armfield
5th November 1985	Ophelia	Deborah Poplett	Director:Cicely Berry
5th November 1985	Hamlet	Tim McInnerny	Director:Cicely Berry
17th November 1979	Hamlet	Frances de la Tour	Director:Robert Walker
11th May 1907	Ophelia	Constance Benson	Director:F R Benson
11th May 1907	Hamlet	F R Benson	Director:F R Benson
11th December 2001	Ophelia	Kerry Condon	Director:Steven Pimlott
11th December 2001	Hamlet	Samuel West	Director:Steven Pimlott
4th December 1997	Ophelia	Derbhle Crotty	Director:Matthew Warchus
4th December 1997	Hamlet	Alex Jennings	Director:Matthew Warchus
30th April 1940	Ophelia	Peggy Bryan	Director:B Iden Payne
30th April 1940	Hamlet	Basil Langton	Director:B Iden Payne
unknown opening	Ophelia	Judi Dench	Director:Michael Benthall
unknown opening	Hamlet	John Neville	Director:Michael Benthall
7th October 2010	Ophelia	Ruth Negga	Director:Nicholas Hytner
7th October 2010	Hamlet	Rory Kinnear	Director:Nicholas Hytner
22nd October 1963	Ophelia	Rosemary Harris	Director:Laurence Olivier
22nd October 1963	Hamlet	Peter O Toole	Director:Laurence Olivier
not found
16th April 1985	Ophelia	Frances Barber	Director:Ron Daniels
16th April 1985	Hamlet	Roger Rees	Director:Ron Daniels
10th November 2001	Ophelia	Kerry Condon	Director:Steven Pimlott
10th November 2001	Hamlet	Samuel West	Director:Steven Pimlott
28th June 1939	Ophelia	Fay Compton	Director:John Gielgud
28th June 1939	Hamlet	John Gielgud	Director:John Gielgud
unknown opening	Ophelia	Tara Fitzgerald	Director:Jonathan Kent
unknown opening	Hamlet	Ralph Fiennes	Director:Jonathan Kent
not found
unknown opening	Ophelia	Tina Jones	Director:Michael Bogdanov
unknown opening	Hamlet	Philip Bowen	Director:Michael Bogdanov
7th October 2010	Ophelia	Ruth Negga	Director:Nicholas Hytner
7th October 2010	Hamlet	Rory Kinnear	Director:Nicholas Hytner
unknown opening	Ophelia	Susan Fleetwood	Director:unknown
unknown opening	Hamlet	Ian McKellen	Director:unknown
23rd September 1997	Ophelia	Derbhle Crotty	Director:Matthew Warchus
23rd September 1997	Hamlet	Alex Jennings	Director:Matthew Warchus
unknown opening	Ophelia	Gina Bellman	Director:Peter Hall
unknown opening	Hamlet	Stephen Dillane	Director:Peter Hall
18th February 1985	Ophelia	Frances Barber	Director:Ron Daniels
18th February 1985	Hamlet	Roger Rees	Director:Ron Daniels
12th December 1958	Ophelia	Dorothy Tutin	Director:Glen Byam Shaw
12th December 1958	Hamlet	Michael Redgrave	Director:Glen Byam Shaw
15th July 2000	Ophelia	Cathryn Bradshaw	Director:John Caird
15th July 2000	Hamlet	Simon Russell Beale	Director:John Caird
unknown opening	Ophelia	Susan Fleetwood	Director:unknown
unknown opening	Hamlet	Ian McKellen	Director:unknown
18th December 1992	Ophelia	Joanne Pearce	Director:Adrian Noble
18th December 1992	Hamlet	Kenneth Branagh	Director:Adrian Noble
23rd August 1997	Ophelia	Derbhle Crotty	Director:Matthew Warchus
23rd August 1997	Hamlet	Alex Jennings	Director:Matthew Warchus
18th September 1993	Ophelia	Hilary Lyon	Director:Stephen Unwin
18th September 1993	Hamlet	Alan Cumming	Director:Stephen Unwin
25th October 2008	Romeo	David Dawson	Director:Neil Bartlett
25th October 2008	Juliet	Anneika Rose	Director:Neil Bartlett
unknown opening	Ophelia	Joanne Wootton	Director:Simon Usher
unknown opening	Hamlet	Adrian Scarborough	Director:Simon Usher
20th April 1891	Ophelia	Constance Benson	Director:F R Benson
20th April 1891	Hamlet	F R Benson	Director:F R Benson
not found
28th July 1911	Ophelia	Ethel McDowall	Director:F R Benson
28th July 1911	Hamlet	F R Benson	Director:F R Benson
4th January 1990	Romeo	Mark Rylance	Director:Terry Hands
4th January 1990	Juliet	Georgia Slowe	Director:Terry Hands
25th October 2003	Romeo	Jack Laskey	Director:unknown
25th October 2003	Juliet	Kate McGuinness	Director:unknown
4th December 2008	Romeo	David Dawson	Director:Neil Bartlett
4th December 2008	Juliet	Anneika Rose	Director:Neil Bartlett
5th September 1984	Ophelia	Frances Barber	Director:Ron Daniels
5th September 1984	Hamlet	Roger Rees	Director:Ron Daniels
unknown opening	Ophelia	Nancy Carroll	Director:Gemma Bodinetz
unknown opening	Hamlet	Colin Tierney	Director:Gemma Bodinetz
not found
22nd February 2014	Iago	Chris Porter	Director:Caroline Devlin
22nd February 2014	Desdemona	Nicole Hartley	Director:Caroline Devlin
22nd February 2014	Othello	David Carr	Director:Caroline Devlin
12th April 2008	Romeo	Benedict Fogarty	Director:Barrie Rutter
12th April 2008	Juliet	Sarah Ridgeway	Director:Barrie Rutter
7th April 1959	Iago	Sam Wanamaker	Director:Tony Richardson
7th April 1959	Desdemona	Mary Ure	Director:Tony Richardson
7th April 1959	Othello	Paul Robeson	Director:Tony Richardson
unknown opening	Romeo	Christian Coulson	Director:Josie Rourke
unknown opening	Juliet	Shereen Ibrahim	Director:Josie Rourke
25th October 2008	Romeo	David Dawson	Director:Neil Bartlett
25th October 2008	Juliet	Anneika Rose	Director:Neil Bartlett
11th November 1989	Romeo	Mark Rylance	Director:Terry Hands
11th November 1989	Juliet	Georgia Slowe	Director:Terry Hands
11th April 1961	Ophelia	Geraldine McEwan	Director:Peter Wood
11th April 1961	Hamlet	Ian Bannen	Director:Peter Wood
24th April 1888	Ophelia	Constance Benson	Director:F R Benson
24th April 1888	Hamlet	F R Benson	Director:F R Benson
4th June 1970	Ophelia	Helen Mirren	Director:Trevor Nunn
4th June 1970	Hamlet	Alan Howard	Director:Trevor Nunn
28th May 1983	Ophelia	Sarah Swingler	Director:Christopher Fettes
28th May 1983	Hamlet	Hilton McRae	Director:Christopher Fettes
unknown opening	Romeo	Oscar Pearce	Director:John Sheehan
unknown opening	Juliet	Tara Sharma	Director:John Sheehan
unknown opening	Ophelia	Linda Gardner	Director:Frank Hauser
unknown opening	Hamlet	Jeremy Brett	Director:Frank Hauser
5th April 1989	Romeo	Mark Rylance	Director:Terry Hands
5th April 1989	Juliet	Georgia Slowe	Director:Terry Hands
25th October 2008	Romeo	David Dawson	Director:Neil Bartlett
25th October 2008	Juliet	Anneika Rose	Director:Neil Bartlett
28th May 1983	Ophelia	Sarah Swingler	Director:Christopher Fettes
28th May 1983	Hamlet	Hilton McRae	Director:Christopher Fettes
13th November 2010	Iago	Mathew Shepherd	Director:Chris Scott
13th November 2010	Desdemona	Claire Stewart	Director:Chris Scott
13th November 2010	Othello	Richard Davy	Director:Chris Scott
unknown opening	Iago	Jack Klaff	Director:Paul Unwin
unknown opening	Desdemona	Melanie Thaw	Director:Paul Unwin
unknown opening	Othello	Jeffery Kissoon	Director:Paul Unwin
4th August 1910	Ophelia	Ethel MacDowall	Director:F R Benson
4th August 1910	Hamlet	F R Benson	Director:F R Benson
22nd September 1982	Ophelia	Kathryn Pogson	Director:Jonathan Miller
22nd September 1982	Hamlet	Anton Lesser	Director:Jonathan Miller
not found
unknown opening	Romeo	Daniel Hawksford	Director:Terry Hands
unknown opening	Juliet	Christina Cole	Director:Terry Hands
not found
26th April 1886	Ophelia	Ethel Johnson	Director:F R Benson
26th April 1886	Hamlet	F R Benson	Director:F R Benson
30th April 1914	Ophelia	Madge Fabian	Director:Patrick Kirwan
30th April 1914	Hamlet	Henry B Irving	Director:Patrick Kirwan
11th November 1989	Iago	Ian McKellen	Director:Trevor Nunn
11th November 1989	Desdemona	Imogen Stubbs	Director:Trevor Nunn
11th November 1989	Othello	Willard White	Director:Trevor Nunn
7th March 1959	Ophelia	Thelma Barlow	Director:Bernard Hepton
7th March 1959	Hamlet	Ian Richardson	Director:Bernard Hepton
17th September 1981	Ophelia	Carol Royle	Director:John Barton
17th September 1981	Hamlet	Michael Pennington	Director:John Barton
not found
18th September 1993	Ophelia	Hilary Lyon	Director:Stephen Unwin
18th September 1993	Hamlet	Alan Cumming	Director:Stephen Unwin
5th July 1998	Ophelia	Derbhle Crotty	Director:Matthew Warchus
5th July 1998	Hamlet	Alex Jennings	Director:Matthew Warchus
6th April 1981	Hamlet	Michael Pennington	Director:John Barton
17th January 2001	Romeo	David Tennant	Director:Michael Boyd
17th January 2001	Juliet	Alexandra Gilbreath	Director:Michael Boyd
24th August 1989	Iago	Ian McKellen	Director:Trevor Nunn
24th August 1989	Desdemona	Imogen Stubbs	Director:Trevor Nunn
24th August 1989	Othello	Willard White	Director:Trevor Nunn
14th October 2006	Romeo	Rupert Evans	Director:Nancy Meckler
14th October 2006	Juliet	Morven Christie	Director:Nancy Meckler
14th April 1987	Romeo	Sean Bean	Director:Michael Bogdanov
14th April 1987	Juliet	Niamh Cusack	Director:Michael Bogdanov
10th March 1981	Ophelia	Carol Royle	Director:John Barton
10th March 1981	Hamlet	Michael Pennington	Director:John Barton
unknown opening	Ophelia	Marianne Faithfull	Director:Tony Richardson
unknown opening	Hamlet	Nicol Williamson	Director:Tony Richardson
27th April 1954	Romeo	Laurence Harvey	Director:Glen Byam Shaw
27th April 1954	Juliet	Zena Walker	Director:Glen Byam Shaw
not found
19th July 1927	Ophelia	Lydia Sherwood	Director:W Bridges-Adams
19th July 1927	Hamlet	John Laurie	Director:W Bridges-Adams
21st April 1989	Iago	Paul Barber	Director:Hugh Quarshie
21st April 1989	Desdemona	Emily Morgan	Director:Hugh Quarshie
21st April 1989	Othello	Clarke Peters	Director:Hugh Quarshie
6th March 1967	Romeo	Gawn Grainger	Director:Val May
6th March 1967	Juliet	Jane Asher	Director:Val May
16th April 1926	Romeo	Sebastian Shaw	Director:W Bridges-Adams
16th April 1926	Juliet	Rosaline Courtneidge	Director:W Bridges-Adams
not found
18th September 1993	Ophelia	Hilary Lyon	Director:Stephen Unwin
18th September 1993	Hamlet	Alan Cumming	Director:Stephen Unwin
not found
21st April 1927	Ophelia	Lydia Sherwood	Director:W Bridges-Adams
21st April 1927	Hamlet	John Laurie	Director:W Bridges-Adams
4th September 2000	Romeo	Chiwetel Ejiofor	Director:Tim Supple
4th September 2000	Juliet	Charlotte Randle	Director:Tim Supple
not found
7th January 1986	Iago	David Suchet	Director:Terry Hands
