<a href="/broadway-cast-staff/eva-le-gallienne-5481">Eva Le Gallienne</a>	Juliet	<td class="dates">Oct 06, 1930</td>
<a href="/broadway-cast-staff/lyn-harding-67730">Lyn Harding</a>	Macbeth	<td class="dates">Nov 19, 1928</td>
<a href="/broadway-cast-staff/florence-reed-57348">Florence Reed</a>	Lady Macbeth	<td class="dates">Nov 19, 1928</td>
<a href="/broadway-cast-staff/fritz-leiber-21965">Fritz Leiber</a>	Macbeth	<td class="dates">Jan 16, 1922</td>
<a href="/broadway-cast-staff/olive-oliver-55104">Olive Oliver</a>	Lady Macbeth	<td class="dates">Jan 16, 1922</td>
<a href="/broadway-cast-staff/celia-johnson-112137">Celia Johnson</a>	Ophelia	<td class="dates">Nov 05, 1931</td>
<a href="/broadway-cast-staff/raymond-massey-15578">Raymond Massey</a>	Hamlet	<td class="dates">Nov 05, 1931</td>
<a href="/broadway-cast-staff/walter-hampden-15020">Walter Hampden</a>	Macbeth	<td class="dates">Dec 07, 1918</td>
<a href="/broadway-cast-staff/gilda-varesi-5911">Gilda Varesi</a>	Lady Macbeth	<td class="dates">Dec 07, 1918</td>
<a href="/broadway-cast-staff/robert-b-mantell-68220">Robert B. Mantell</a>	Othello	<td class="dates">Feb 01, 1915</td>
<a href="/broadway-cast-staff/genevieve-hamper-43969">Genevieve Hamper</a>	Desdemona	<td class="dates">Feb 01, 1915</td>
<a href="/broadway-cast-staff/fritz-leiber-21965">Fritz Leiber</a>	Iago	<td class="dates">Feb 01, 1915</td>
<a href="/broadway-cast-staff/viola-allen-66734">Viola Allen</a>	Lady Macbeth	<td class="dates">Feb 07, 1916</td>
<a href="/broadway-cast-staff/james-k-hackett-14993">James K. Hackett</a>	Macbeth	<td class="dates">Feb 07, 1916</td>
<a href="/broadway-cast-staff/julia-marlowe-22755">Julia Marlowe</a>	Ophelia	<td class="dates">Sep 22, 1913</td>
<a href="/broadway-cast-staff/e-h-sothern-28103">E. H. Sothern</a>	Hamlet	<td class="dates">Sep 22, 1913</td>
<a href="/broadway-cast-staff/donald-cameron-34325">Donald Cameron</a>	Romeo	<td class="dates">Apr 21, 1930</td>
<a href="/broadway-cast-staff/eva-le-gallienne-5481">Eva Le Gallienne</a>	Juliet	<td class="dates">Apr 21, 1930</td>
<a href="/broadway-cast-staff/basil-sydney-16301">Basil Sydney</a>	Hamlet	<td class="dates">Nov 09, 1925</td>
<a href="/broadway-cast-staff/helen-chandler-35018">Helen Chandler</a>	Ophelia	<td class="dates">Nov 09, 1925</td>
<a href="/broadway-cast-staff/virginia-bronson-33127">Virginia Bronson</a>	Juliet	<td class="dates">Jan 16, 1922</td>
<a href="/broadway-cast-staff/fritz-leiber-21965">Fritz Leiber</a>	Romeo	<td class="dates">Jan 16, 1922</td>
<a href="/broadway-cast-staff/walter-hampden-15020">Walter Hampden</a>	Hamlet	<td class="dates">Nov 22, 1918</td>
