actor	bday
Christian Camargo	1971-07-07T00:00:00
Christian Coulson	1978-10-03T00:00:00
Christina Cole	1982-05-08T00:00:00
Christopher Eccleston	1964-02-16T00:00:00
Christopher Martin	person not found on wiki
Christopher Middleton	person not found on wiki
Christopher Plummer	1929-12-13T00:00:00
Christopher Shyer	no birthday on article
Christopher Walken	1943-03-31T00:00:00
Chukwudi Iwuji	1975-01-01T00:00:00
Ciaran Hinds	1953-02-09T00:00:00
Claire Bloom	1931-02-15T00:00:00
Claire Cox	1975-12-19T00:00:00
Claire Foy	1984-04-16T00:00:00
Claire Jullien	person not found on wiki
Claire Luce	1903-10-15T00:00:00
Claire Prince	person not found on wiki
Claire Rankin	1971-01-23T00:00:00
Claire Skinner	1965-01-01T00:00:00
Claire Stewart	no birthday on article
Clare Dow	person not found on wiki
Clare Eames	1896-08-05T00:00:00
Clare Higgins	1955-11-10T00:00:00
Clare Holman	1964-01-12T00:00:00
Clarence Smith	person not found on wiki
Clarke Peters	1952-04-07T00:00:00
Claudie Blakley	1974-01-01T00:00:00
Clive Wood	1954-01-01T00:00:00
Colin Keith-Johnston	1896-10-08T00:00:00
Colin Tierney	1968-01-01T00:00:00
Colleen Delaney	person not found on wiki
Colleen Dewhurst	1924-06-03T00:00:00
Colm Feore	1958-08-22T00:00:00
Condola Rashad	1986-12-11T00:00:00
Conleth Hill	1964-11-24T00:00:00
Conrad Nelson	no birthday on article
Constance Barrie	person not found on wiki
Constance Benson	1864-02-26T00:00:00
Constance Collier	1878-01-22T00:00:00
Conway Tearle	1878-05-17T00:00:00
Coral Browne	1913-07-23T00:00:00
Corin Redgrave	1939-07-16T00:00:00
Cush Jumbo	1985-09-23T00:00:00
Cyril Keightley	person not found on wiki
Daisy Ward	person not found on wiki
Daisy Whalley	person not found on wiki
Dakin Matthews	1940-11-07T00:00:00
Damian Myerscough	person not found on wiki
Damien Gulde	person not found on wiki
Dan Fredenburgh	no birthday on article
Danforth Comins	1975-06-06T00:00:00
Daniel Briere	1977-10-06T00:00:00
Daniel Craig	1968-03-02T00:00:00
Daniel Day-Lewis	1957-04-29T00:00:00
Daniel Hawksford	no birthday on article
Daniel Lapaine	1971-06-15T00:00:00
Daniel Massey	1933-10-10T00:00:00
Daniel Webb	1958-06-06T00:00:00
Danny Edge	person not found on wiki
Danny Sapani	1970-11-15T00:00:00
Daphne Heard	1904-08-01T00:00:00
Daphne Hipchikz	person not found on wiki
Daphne Slater	1928-03-03T00:00:00
Darrell D'Silva	1964-01-05T00:00:00
David Bowen	person not found on wiki
David Calder	1946-08-01T00:00:00
David Carr	person not found on wiki
David Dawson	1982-09-07T00:00:00
David Dodimead	person not found on wiki
David Emerson Toney	1954-01-01T00:00:00
David Fielder	person not found on wiki
David Harbour	1975-04-10T00:00:00
David Harewood	1965-12-08T00:00:00
David Horovitch	1945-08-11T00:00:00
David Oyelowo	1976-04-01T00:00:00
David Peel	1920-06-19T00:00:00
David Read	person not found on wiki
David Schofield	1951-01-01T00:00:00
David Schramm	1946-08-14T00:00:00
David Suchet	1946-05-02T00:00:00
David Tennant	1971-04-18T00:00:00
David Threlfall	1953-10-12T00:00:00
David Troughton	1950-06-09T00:00:00
David Warfield	1866-11-28T00:00:00
David Warner	1941-07-29T00:00:00
David Westhead	1963-06-01T00:00:00
Dearbhla Molloy	1946-01-01T00:00:00
Debbie Bowen	person not found on wiki
Debbie Korley	person not found on wiki
Deborah Findlay	1947-12-23T00:00:00
Deborah Poplett	person not found on wiki
Debra Beaumont	person not found on wiki
Deirdre Mullins	1984-01-01T00:00:00
Denholm Mitchell Elliott	person not found on wiki
Denis Quilley	1927-12-26T00:00:00
Denzel Washington	1954-12-28T00:00:00
Derbhle Crotty	1968-01-01T00:00:00
Derek D. Smith	person not found on wiki
Derek Jacobi	1938-10-22T00:00:00
Devora Millman	person not found on wiki
Dharmesh Patel	not a date
Diana Rigg	1938-07-20T00:00:00
Diana Sinclair	person not found on wiki
Diana Tilby	person not found on wiki
Diana Wynyard	1906-01-16T00:00:00
Diane D’Aquila	1953-01-01T00:00:00
Diane Venora	1952-08-10T00:00:00
Dianne Wiest	1948-03-28T00:00:00
Dilys Hamlett	1928-03-31T00:00:00
Dion Johnstone	1975-10-12T00:00:00
Dion Johnstone Bcc	person not found on wiki
Domini Blythe	1947-08-28T00:00:00
Dominic West	1969-10-15T00:00:00
Dominique Bull	person not found on wiki
Don Gunderson	person not found on wiki
Don Warrington	1951-05-23T00:00:00
Donald Cameron	person not found on wiki
Donald Carrier	person not found on wiki
Donald Davis	1928-02-26T00:00:00
Donald Harron	1924-09-19T00:00:00
Donald Madden	1933-11-05T00:00:00
Donald Sinden	1923-10-09T00:00:00
Donald Wolfit	1902-04-20T00:00:00
Doreen Aris	person not found on wiki
Dorothie Pidcock	person not found on wiki
Dorothy Green	1866-06-30T00:00:00
Dorothy Hyson	1914-12-24T00:00:00
Dorothy Massingham	1889-01-01T00:00:00
Dorothy Tutin	1930-04-08T00:00:00
Douglas Campbell	1922-06-11T00:00:00
Douglas J. Wood	person not found on wiki
Douglas Rain	1928-03-13T00:00:00
Douglas Watson	1921-02-24T00:00:00
Doyle Richmond	person not found on wiki
Drew Cortese	person not found on wiki
Duncan Bell	1955-01-16T00:00:00
Dustin Hoffman	1937-08-08T00:00:00
E Lyall Swete	person not found on wiki
E. H. Sothern	1859-12-06T00:00:00
Eamonn Walker	1962-06-12T00:00:00
Earle Hyman	1926-10-11T00:00:00
Edmund Breese	1871-06-18T00:00:00
Edmund Russell	person not found on wiki
Edmund Willard	1884-12-19T00:00:00
Edna Thomas	1885-11-01T00:00:00
Edward Compton	person not found on wiki
Edward Fox	1937-04-13T00:00:00
Edward Hogg	1979-01-26T00:00:00
Edward Lyall Swete	person not found on wiki
Edward Warburton	person not found on wiki
Edward York	person not found on wiki
Edwin Booth	1833-11-13T00:00:00
Edwin Forrest	1806-03-09T00:00:00
Edwin Lever	person not found on wiki
Eileen Atkins	1934-06-16T00:00:00
Eileen Kennally	not a date
Eleanor Goodrich	person not found on wiki
Eleanor Kent	person not found on wiki
Eleanor Montgomery	1946-11-13T00:00:00
Eleanor Robson	no birthday on article
Elissa Landi	1904-12-06T00:00:00
Elizabeth Chadwick	no birthday on article
Elizabeth Marvel	1969-11-27T00:00:00
