actor	bday
Tom Hiddleston	1981-02-09T00:00:00
Tom Mannion	no birthday on article
Tom Mccamus	1955-07-25T00:00:00
Tom Mcgovern	person not found on wiki
Tom Peters	1942-11-07T00:00:00
Tom Wilkinson	1948-02-05T00:00:00
Tommy Mullins	person not found on wiki
Tony Britton	1924-06-09T00:00:00
Tony Church	1930-05-11T00:00:00
Tony Haygarth	1945-02-04T00:00:00
Tony Steedman	1927-08-21T00:00:00
Topol	1935-09-09T00:00:00
Trish Lindstrom	person not found on wiki
Ty Jones	1970-01-01T00:00:00
Tyrell Crews	person not found on wiki
Uta Hagen	1919-06-12T00:00:00
Valerie Taylor	1902-11-10T00:00:00
Valerie Tudor	1910-12-03T00:00:00
Vaneshran Arumugam	person not found on wiki
Vanessa Redgrave	1937-01-30T00:00:00
Veronica Quilligan	person not found on wiki
Veronica Smart	person not found on wiki
Victor Power	person not found on wiki
Victor Williams	1970-09-19T00:00:00
Victoria Bolt	person not found on wiki
Viola Allen	1867-10-27T00:00:00
Viola Knott	person not found on wiki
Violet Farebrother	1888-08-22T00:00:00
Violet Vanbrugh	1867-06-11T00:00:00
Violet Vivian	person not found on wiki
Virginia Bateman	1853-01-01T00:00:00
Virginia Bronson	person not found on wiki
Virginia Harned	1868-05-29T00:00:00
Vivien Heilbron	1944-05-13T00:00:00
Vivien Leigh	1913-11-05T00:00:00
Vivien Merchant	1929-07-22T00:00:00
Vivienne Bennett	1905-07-29T00:00:00
W H Hallatt	person not found on wiki
Wallace Acton	1964-09-01T00:00:00
Walter Hampden	1879-06-30T00:00:00
Walter Huston	1883-04-05T00:00:00
Warren Mitchell	1926-01-14T00:00:00
Wendy Williams	1964-07-18T00:00:00
Wenna Shaw	person not found on wiki
Wilfrid Walter	1882-03-02T00:00:00
Will Featherstone	person not found on wiki
Will Jackson Harper	person not found on wiki
Will Keen	1970-03-04T00:00:00
Will Parrick	person not found on wiki
Willard White	1946-10-10T00:00:00
William Charles Macready	1793-03-03T00:00:00
William Creswick	1813-12-27T00:00:00
William Devlin	1911-12-05T00:00:00
William Faversham	1868-02-12T00:00:00
William Hurt	1950-03-20T00:00:00
William Hutt	1920-05-02T00:00:00
William Prince	1913-01-26T00:00:00
William Shust	person not found on wiki
William Stack	1882-03-05T00:00:00
William Sylvester	1922-01-31T00:00:00
William Thomas Hodgson	person not found on wiki
William Thornton	1759-05-20T00:00:00
William Verderber	person not found on wiki
Winsome Brown	1977-01-01T00:00:00
Wolfgang Pregler	person not found on wiki
Wyllie Longmore	1940-02-11T00:00:00
Yanna Mcintosh	1970-01-01T00:00:00
Yousef Sweid	1976-06-22T00:00:00
Yvonne Mitchell	1915-07-07T00:00:00
Yvonne Nicholson	person not found on wiki
Zainab Jah	person not found on wiki
Zena Walker	1934-03-07T00:00:00
Zho Ye Mang	person not found on wiki
Zoe Aldrich	person not found on wiki
Zoe Caldwell	1933-09-14T00:00:00
Zoe Tapper	1981-10-26T00:00:00
Zoe Waites	person not found on wiki
Zubin Varla	1970-01-01T00:00:00
