http://www.lortel.org/Archives/Production/4235	October 27, 1956	Ophelia	Helen Taylor
http://www.lortel.org/Archives/Production/2841	June 20, 1972	Hamlet	Stacy Keach
http://www.lortel.org/Archives/Production/3326	August 13, 1962	Lear	Frank Silvera
http://www.lortel.org/Archives/Production/2841	June 20, 1972	Ophelia	Kitty Winn
http://www.lortel.org/Archives/Production/4320	October 19, 1955	Lady Macbeth	M'el Dowd
http://www.lortel.org/Archives/Production/4320	October 19, 1955	Macbeth	Pernell Roberts
http://www.lortel.org/Archives/Production/968	January 28, 1957	Hamlet	Siobhan McKenna
http://www.lortel.org/Archives/Production/3600	July 8, 1964	Othello	James Earl Jones
http://www.lortel.org/Archives/Production/3228	August 7, 1968	Juliet	Susan McArthur
http://www.lortel.org/Archives/Production/3600	July 8, 1964	Desdemona	Julienne Marie
http://www.lortel.org/Archives/Production/3228	August 7, 1968	Romeo	Martin Sheen
http://www.lortel.org/Archives/Production/3600	July 8, 1964	Iago	Mitchell Ryan
http://www.lortel.org/Archives/Production/3970	April 2, 1962	Juliet	Sandra MacDonald
http://www.lortel.org/Archives/Production/3970	April 2, 1962	Romeo	Richard Novello
http://www.lortel.org/Archives/Production/4329	February 23, 1956	Romeo	Robert Rietz
http://www.lortel.org/Archives/Production/3805	November 15, 1962	Macbeth	Michael Higgins
http://www.lortel.org/Archives/Production/4452	October 29, 1953	Desdemona	Blanche Cholet
http://www.lortel.org/Archives/Production/4329	February 23, 1956	Juliet	Carlotta Sherwood
http://www.lortel.org/Archives/Production/3805	November 15, 1962	Lady Macbeth	Betty Miller
http://www.lortel.org/Archives/Production/4452	October 29, 1953	Othello	Earle Hyman
http://www.lortel.org/Archives/Production/4452	October 29, 1953	Iago	William Thornton
http://www.lortel.org/Archives/Production/6241	September 19, 2016	Hamlet	Chukwudi Iwuji
http://www.lortel.org/Archives/Production/6241	September 19, 2016	Ophelia	Kristolyn Lloyd
http://www.lortel.org/Archives/Production/6218	December 12, 2016	Desdemona	Rachel Brosnahan
http://www.lortel.org/Archives/Production/6218	December 12, 2016	Iago	Daniel Craig
http://www.lortel.org/Archives/Production/6218	December 12, 2016	Othello	David Oyelowo
http://www.lortel.org/Archives/Production/6383	July 13, 2017	Hamlet	Oscar Isaac
http://www.lortel.org/Archives/Production/6383	July 13, 2017	Ophelia	Gayle Rankin
http://www.lortel.org/Archives/Production/3604	October 12, 1964	Desdemona	Flora Elkins
http://www.lortel.org/Archives/Production/3604	October 12, 1964	Othello	James Earl Jones
http://www.lortel.org/Archives/Production/3604	October 12, 1964	Iago	Mitchell Ryan
